Buffer_ID,Day,MinvonTime_Start_Number,MaxvonTime_End_Number,Time,Jurisdiction_ID,Waterbody_ID,Relevant
90,15-06-11,10.00,15.01,-1,J54147,,False
90,15-06-11,10.00,15.01,-1,,,False
90,15-06-11,10.00,15.01,-1,,,False
90,15-06-11,10.00,15.01,-1,,,False
90,15-06-11,10.00,15.01,-1,J54145,,False
90,15-06-11,10.00,15.01,-1,,,False
90,15-06-11,10.00,15.01,-1,,,False
90,15-06-11,10.00,15.01,-1,,,False
90,15-06-11,10.00,15.01,-1,,,False
90,15-06-11,10.00,15.01,-1,,,False
90,15-06-11,10.00,15.01,-1,,,False
210,15-06-23,12.87,14.10,-1,,,False
210,15-06-23,12.87,14.10,-1,,,False
210,15-06-23,12.87,14.10,-1,J54128,,False
60b,15-06-25,9.76,16.51,-1,,328961724,False
60b,15-06-25,9.76,16.51,-1,,329316069,False
60b,15-06-25,9.76,16.51,-1,J54182,329320869,True
60b,15-06-25,9.76,16.51,-1,,,False
60b,15-06-25,9.76,16.51,-1,,,False
60b,15-06-25,9.76,16.51,-1,,329459116B,False
60b,15-06-25,9.76,16.51,-1,,,False
60b,15-06-25,9.76,16.51,-1,,,False
60b,15-06-25,9.76,16.51,-1,,329316067,False
60b,15-06-25,9.76,16.51,-1,,329320902,False
60b,15-06-25,9.76,16.51,-1,,329518145B,False
60b,15-06-25,9.76,16.51,-1,J54182,329459125,True
60b,15-06-25,9.76,16.51,-1,J54139,-1,False
60b,15-06-25,9.76,16.51,-1,,329459116B,False
60b,15-06-25,9.76,16.51,-1,,,False
60b,15-06-25,9.76,16.51,-1,,329083342,False
60b,15-06-25,9.76,16.51,-1,,329316066,False
60b,15-06-25,9.76,16.51,-1,,328961724,False
60b,15-06-25,9.76,16.51,-1,,329014384,False
60b,15-06-25,9.76,16.51,-1,,329494745,False
60b,15-06-25,9.76,16.51,-1,,,False
60b,15-06-25,9.76,16.51,-1,,329459116B,False
60b,15-06-25,9.76,16.51,-1,,,False
60b,15-06-25,9.76,16.51,-1,,329459116B,False
60b,15-06-25,9.76,16.51,-1,,329451884,False
60b,15-06-25,9.76,16.51,-1,,329320902,False
60b,15-06-25,9.76,16.51,-1,,329320902,False
60b,15-06-25,9.76,16.51,-1,,328961724,False
60b,15-06-25,9.76,16.51,-1,,,False
60b,15-06-25,9.76,16.51,-1,,329060800,False
60b,15-06-25,9.76,16.51,-1,,,False
60b,15-06-25,9.76,16.51,-1,,329320902,False
60b,15-06-25,9.76,16.51,-1,,,False
60b,15-06-25,9.76,16.51,-1,,329518145B,False
60b,15-06-25,9.76,16.51,-1,,329459119,False
60b,15-06-25,9.76,16.51,-1,,329316066,False
60b,15-06-25,9.76,16.51,-1,,329216611,False
60b,15-06-25,9.76,16.51,-1,,329459116B,False
60b,15-06-25,9.76,16.51,-1,,,False
60b,15-06-25,9.76,16.51,-1,,329459118,False
60b,15-06-25,9.76,16.51,-1,,329459118,False
60b,15-06-25,9.76,16.51,-1,,329663955,False
42,15-06-26,12.26,18.50,-1,,329216611,False
38,15-06-28,12.51,16.68,-1,,,False
38,15-06-28,12.51,16.68,-1,,,False
38,15-06-28,12.51,16.68,-1,,,False
38,15-06-28,12.51,16.68,-1,,,False
38,15-06-28,12.51,16.68,-1,,-1,False
38,15-06-28,12.51,16.68,-1,,329459116B,False
38,15-06-28,12.51,16.68,-1,,,False
38,15-06-28,12.51,16.68,-1,,,False
38,15-06-28,12.51,16.68,-1,,329663963,False
38,15-06-28,12.51,16.68,-1,,,False
38,15-06-28,12.51,16.68,-1,,,False
38,15-06-28,12.51,16.68,-1,,,False
38,15-06-28,12.51,16.68,-1,,329459116C,False
38,15-06-28,12.51,16.68,-1,,,False
38,15-06-28,12.51,16.68,-1,,-1,False
38,15-06-28,12.51,16.68,-1,,329459116B,False
38,15-06-28,12.51,16.68,-1,,,False
38,15-06-28,12.51,16.68,-1,,,False
38,15-06-28,12.51,16.68,-1,,329216611,False
38,15-06-28,12.51,16.68,-1,,,False
38,15-06-28,12.51,16.68,-1,,,False
38,15-06-28,12.51,16.68,-1,,,False
38,15-06-28,12.51,16.68,-1,,329459116B,False
386,15-06-29,12.01,17.51,-1,,-1,False
386,15-06-29,12.01,17.51,-1,,-1,False
386,15-06-29,12.01,17.51,-1,,,False
386,15-06-29,12.01,17.51,-1,,,False
386,15-06-29,12.01,17.51,-1,,-1,False
386,15-06-29,12.01,17.51,-1,,328961702A,False
386,15-06-29,12.01,17.51,-1,,329246297,False
386,15-06-29,12.01,17.51,-1,,-1,False
386,15-06-29,12.01,17.51,-1,,329246297,False
386,15-06-29,12.01,17.51,-1,,-1,False
386,15-06-29,12.01,17.51,-1,,-1,False
386,15-06-29,12.01,17.51,-1,,-1,False
142,15-07-01,11.51,17.85,-1,J54129,329093897,True
142,15-07-01,11.51,17.85,-1,J54130,,False
142,15-07-01,11.51,17.85,-1,J54130,,False
142,15-07-01,11.51,17.85,-1,,,False
142,15-07-01,11.51,17.85,-1,J54129,,False
142,15-07-01,11.51,17.85,-1,J54130,,False
142,15-07-01,11.51,17.85,-1,J54129,,False
142,15-07-01,11.51,17.85,-1,J54130,328961702A,True
142,15-07-01,11.51,17.85,-1,J54130,328974235B,True
142,15-07-01,11.51,17.85,-1,,,False
142,15-07-01,11.51,17.85,-1,J54130,,False
142,15-07-01,11.51,17.85,-1,,,False
142,15-07-01,11.51,17.85,-1,,328961702A,False
142,15-07-01,11.51,17.85,-1,J54130,,False
142,15-07-01,11.51,17.85,-1,J54130,328974235B,True
142,15-07-01,11.51,17.85,-1,,-1,False
142,15-07-01,11.51,17.85,-1,,329216611,False
142,15-07-01,11.51,17.85,-1,J54130,,False
142,15-07-01,11.51,17.85,-1,,328961702A,True
142,15-07-01,11.51,17.85,-1,,-1,False
142,15-07-01,11.51,17.85,-1,,,False
142,15-07-01,11.51,17.85,-1,,,False
142,15-07-01,11.51,17.85,-1,J54129,,False
142,15-07-01,11.51,17.85,-1,,,False
142,15-07-01,11.51,17.85,-1,J54130,,False
142,15-07-01,11.51,17.85,-1,,,False
142,15-07-01,11.51,17.85,-1,,328961702A,False
142,15-07-01,11.51,17.85,-1,,,False
142,15-07-01,11.51,17.85,-1,J54130,,False
142,15-07-01,11.51,17.85,-1,J54129,,False
142,15-07-01,11.51,17.85,-1,J54130,,False
142,15-07-01,11.51,17.85,-1,,329069248,False
142,15-07-01,11.51,17.85,-1,,328974235B,True
142,15-07-01,11.51,17.85,-1,J54130,329246297,True
142,15-07-01,11.51,17.85,-1,,328961702A,True
142,15-07-01,11.51,17.85,-1,J54130,329246297,True
142,15-07-01,11.51,17.85,-1,,328961702A,True
142,15-07-01,11.51,17.85,-1,J54130,,False
142,15-07-01,11.51,17.85,-1,J54159,,False
142,15-07-01,11.51,17.85,-1,J54130,328974235C,True
142,15-07-01,11.51,17.85,-1,,328961702A,False
142,15-07-01,11.51,17.85,-1,J54159,,False
142,15-07-01,11.51,17.85,-1,,328961702A,False
142,15-07-01,11.51,17.85,-1,,328961702A,False
142,15-07-01,11.51,17.85,-1,,328961702A,False
142,15-07-01,11.51,17.85,-1,,,False
142,15-07-01,11.51,17.85,-1,,,False
142,15-07-01,11.51,17.85,-1,,,False
142,15-07-01,11.51,17.85,-1,,,False
142,15-07-01,11.51,17.85,-1,,328961702A,True
142,15-07-01,11.51,17.85,-1,,-1,False
142,15-07-01,11.51,17.85,-1,,328961702A,True
142,15-07-01,11.51,17.85,-1,,,False
142,15-07-01,11.51,17.85,-1,J54159,,False
142,15-07-01,11.51,17.85,-1,J54130,,False
142,15-07-01,11.51,17.85,-1,,329246297,True
142,15-07-01,11.51,17.85,-1,,328961702A,True
142,15-07-01,11.51,17.85,-1,J54129,,False
142,15-07-01,11.51,17.85,-1,J54173,328961720B,True
142,15-07-01,11.51,17.85,-1,,,False
142,15-07-01,11.51,17.85,-1,,,False
142,15-07-01,11.51,17.85,-1,J54129,329246297,True
142,15-07-01,11.51,17.85,-1,,328961702A,False
48,15-07-04,8.00,14.01,-1,,,False
48,15-07-04,8.00,14.01,-1,,,False
48,15-07-04,8.00,14.01,-1,,,False
48,15-07-04,8.00,14.01,-1,,,False
40,15-07-05,10.42,13.51,-1,,,False
96,15-07-09,11.33,16.92,-1,,328961720B,True
96,15-07-09,11.33,16.92,-1,,328961720B,False
96,15-07-09,11.33,16.92,-1,,,False
96,15-07-09,11.33,16.92,-1,,-1,False
96,15-07-09,11.33,16.92,-1,,329069248,False
96,15-07-09,11.33,16.92,-1,,,False
28,15-07-09,10.76,17.44,-1,J54181,,False
28,15-07-09,10.76,17.44,-1,J54181,,False
90,15-07-10,10.24,16.75,-1,,,False
90,15-07-10,10.24,16.75,-1,,329459175,False
90,15-07-10,10.24,16.75,-1,,329459116C,False
90,15-07-10,10.24,16.75,-1,,,False
90,15-07-10,10.24,16.75,-1,,329459116B,False
90,15-07-10,10.24,16.75,-1,J54147,,False
90,15-07-10,10.24,16.75,-1,,,False
90,15-07-10,10.24,16.75,-1,,,False
90,15-07-10,10.24,16.75,-1,,,False
90,15-07-10,10.24,16.75,-1,,-1,False
28,15-07-12,10.38,15.61,-1,J54160,,False
28,15-07-12,10.38,15.61,-1,J54140,329459116B,True
28,15-07-12,10.38,15.61,-1,J54181,,False
28,15-07-12,10.38,15.61,-1,J54181,,False
28,15-07-12,10.38,15.61,-1,J54181,329518145A,True
28,15-07-12,10.38,15.61,-1,,328961724,False
28,15-07-12,10.38,15.61,-1,J54139,-1,True
28,15-07-12,10.38,15.61,-1,J54181,329083342,True
28,15-07-12,10.38,15.61,-1,J54181,,False
28,15-07-12,10.38,15.61,-1,J54181,,False
28,15-07-12,10.38,15.61,-1,J54181,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,329216611,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,328974235C,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,-1,False
96,15-07-19,10.50,17.06,-1,,-1,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,J54129,329216611,True
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,J54145,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,J54145,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,328961720B,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,329216611,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,,False
96,15-07-19,10.50,17.06,-1,,,False
142,15-07-19,11.26,15.76,-1,J54130,329216611,True
142,15-07-19,11.26,15.76,-1,J54129,328961702A,True
142,15-07-19,11.26,15.76,-1,,328961702A,False
142,15-07-19,11.26,15.76,-1,,328961702A,False
142,15-07-19,11.26,15.76,-1,,,False
142,15-07-19,11.26,15.76,-1,,-1,False
142,15-07-19,11.26,15.76,-1,,,False
142,15-07-19,11.26,15.76,-1,,328974235B,True
142,15-07-19,11.26,15.76,-1,,328961702A,False
142,15-07-19,11.26,15.76,-1,J54130,,False
142,15-07-19,11.26,15.76,-1,,328961702A,True
142,15-07-19,11.26,15.76,-1,,,False
142,15-07-19,11.26,15.76,-1,,328974235B,True
142,15-07-19,11.26,15.76,-1,,328961702A,False
142,15-07-19,11.26,15.76,-1,,329069248,False
142,15-07-19,11.26,15.76,-1,,329069248,False
142,15-07-19,11.26,15.76,-1,,,False
142,15-07-19,11.26,15.76,-1,,328961702A,False
142,15-07-19,11.26,15.76,-1,,328961702A,False
142,15-07-19,11.26,15.76,-1,,,False
142,15-07-19,11.26,15.76,-1,,328961702A,False
142,15-07-19,11.26,15.76,-1,,328961702A,False
142,15-07-19,11.26,15.76,-1,,328961702A,True
142,15-07-19,11.26,15.76,-1,,329069253,False
142,15-07-19,11.26,15.76,-1,J54173,-1,False
142,15-07-19,11.26,15.76,-1,,329523947,False
142,15-07-19,11.26,15.76,-1,,,False
142,15-07-19,11.26,15.76,-1,,328961702A,True
142,15-07-19,11.26,15.76,-1,J54145,,False
142,15-07-19,11.26,15.76,-1,J54130,328961702A,True
142,15-07-19,11.26,15.76,-1,,328961702A,False
142,15-07-19,11.26,15.76,-1,,329069248,False
142,15-07-19,11.26,15.76,-1,,328961702A,False
142,15-07-19,11.26,15.76,-1,J54130,328961702A,True
142,15-07-19,11.26,15.76,-1,,,False
142,15-07-19,11.26,15.76,-1,,328961702A,False
142,15-07-19,11.26,15.76,-1,J54130,,False
142,15-07-19,11.26,15.76,-1,J54129,,False
142,15-07-19,11.26,15.76,-1,,,False
142,15-07-19,11.26,15.76,-1,J54130,328961702A,True
142,15-07-19,11.26,15.76,-1,J54130,328961702A,True
142,15-07-19,11.26,15.76,-1,J54129,,False
142,15-07-19,11.26,15.76,-1,,328974235B,False
142,15-07-19,11.26,15.76,-1,J54130,328961702A,True
142,15-07-19,11.26,15.76,-1,J54159,,False
142,15-07-19,11.26,15.76,-1,,,False
142,15-07-19,11.26,15.76,-1,,-1,False
142,15-07-19,11.26,15.76,-1,,328961702A,False
142,15-07-19,11.26,15.76,-1,J54131,,False
142,15-07-19,11.26,15.76,-1,,,False
142,15-07-19,11.26,15.76,-1,,329069248,False
142,15-07-19,11.26,15.76,-1,,,False
142,15-07-19,11.26,15.76,-1,J54129,328961702A,True
142,15-07-19,11.26,15.76,-1,,328961702A,False
142,15-07-19,11.26,15.76,-1,,,False
142,15-07-19,11.26,15.76,-1,J54130,,False
142,15-07-19,11.26,15.76,-1,,,False
142,15-07-19,11.26,15.76,-1,J54130,,False
142,15-07-19,11.26,15.76,-1,J54130,,False
142,15-07-19,11.26,15.76,-1,,328961702A,False
142,15-07-19,11.26,15.76,-1,,329069248,False
142,15-07-19,11.26,15.76,-1,,,False
142,15-07-19,11.26,15.76,-1,,328961702A,False
91,15-07-21,10.85,15.76,-1,,,False
91,15-07-21,10.85,15.76,-1,,,False
91,15-07-21,10.85,15.76,-1,,328961702A,False
91,15-07-21,10.85,15.76,-1,J54128,328961702A,True
91,15-07-21,10.85,15.76,-1,,,False
91,15-07-21,10.85,15.76,-1,,328961702A,False
91,15-07-21,10.85,15.76,-1,,328961702A,False
91,15-07-21,10.85,15.76,-1,,328961702A,False
91,15-07-21,10.85,15.76,-1,J54130,328961702A,True
91,15-07-21,10.85,15.76,-1,,328961702A,False
91,15-07-21,10.85,15.76,-1,J54130,328961702A,True
