stationID,mean,meanInfested,variance,varianceInfested
b'11',-93234865.83375123,-40846943.35755596,25939772675.43744,11364422694.304
b'14',-93244102.7958024,-40856180.31960713,25945268772.315758,11369918791.182318
b'18',-93234865.83375123,-40846943.35755596,25939772675.43744,11364422694.304
b'18b',-93237933.89799161,-40847052.8601746,25941640340.731346,11364488618.941935
b'20',-93237427.15900803,-40848473.3579706,25941291456.62859,11365353690.878233
b'22',-93248017.97833721,-40860095.50214195,25947782227.592644,11372432246.459206
b'25',-93376551.24184625,-40879379.83124514,26025888545.592003,11384047110.50127
b'3',-93291783.57338499,-40900636.38027928,25974394083.586166,11397120559.393314
b'6',-93247387.296717,-40859464.820521735,25947268245.834484,11371918264.701044
b'6b',-93234865.83375123,-40846943.35755596,25939772675.43744,11364422694.304
b'9',-93376551.24184625,-40879379.83124514,26025888545.592003,11384047110.50127
